"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"You X.; Wang Y.; Zhao X.","You, Xingyi (58533354500); Wang, Yue (57221509705); Zhao, Xiaohu (56883407900)","58533354500; 57221509705; 56883407900","A Lightweight Monocular 3D Face Reconstruction Method Based on Improved 3D Morphing Models","2023","Sensors","23","15","6713","","","","0","10.3390/s23156713","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167747574&doi=10.3390%2fs23156713&partnerID=40&md5=bbc055382f4f4ca7d062846f643f2c45","Article","Final","","Scopus","2-s2.0-85167747574"
"Chen Y.; Xiong S.","Chen, Yilei (58611880300); Xiong, Shengwu (57203905556)","58611880300; 57203905556","Rethinking one-shot face reenactment: A spatial–temporal reconstruction view","2023","Knowledge-Based Systems","277","","110786","","","","0","10.1016/j.knosys.2023.110786","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165541798&doi=10.1016%2fj.knosys.2023.110786&partnerID=40&md5=b21cdf956e48b1dae21d3346f3f9ff3a","Article","Final","","Scopus","2-s2.0-85165541798"
"Zhao D.; Cai J.; Qi Y.","Zhao, Dapeng (57320462200); Cai, Jinkang (57208671062); Qi, Yue (35756411200)","57320462200; 57208671062; 35756411200","Convincing 3D Face Reconstruction from a Single Color Image under Occluded Scenes","2022","Electronics (Switzerland)","11","4","543","","","","1","10.3390/electronics11040543","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124256816&doi=10.3390%2felectronics11040543&partnerID=40&md5=00eb0a2b5b815a06e5469b47072d86c1","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85124256816"
"Yang E.-H.; Chen Q.; Li J.; Di H.-B.; Huang B.; Qiu Y.-J.","Yang, En-Hui (55427369600); Chen, Qiang (58519393500); Li, Jie (57206966938); Di, Hai-Bo (57211289704); Huang, Bing (55459845800); Qiu, Yan-Jun (7403279284)","55427369600; 58519393500; 57206966938; 57211289704; 55459845800; 7403279284","Surface Texture Reconstruction and Mean Texture Depth Prediction Model of Asphalt Pavement; [沥青路面表面纹理重构与构造深度预测模型]","2023","Zhongguo Gonglu Xuebao/China Journal of Highway and Transport","36","6","","14","23","9","1","10.19721/j.cnki.1001-7372.2023.06.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163747902&doi=10.19721%2fj.cnki.1001-7372.2023.06.002&partnerID=40&md5=15accbbe51a18e0d78eb11fadc43bae3","Article","Final","","Scopus","2-s2.0-85163747902"
"Nicolet B.; Jacobson A.; Jakob W.","Nicolet, Baptiste (57219343857); Jacobson, Alec (36552585300); Jakob, Wenzel (35770704800)","57219343857; 36552585300; 35770704800","Large steps in inverse rendering of geometry","2021","ACM Transactions on Graphics","40","6","3480501","","","","31","10.1145/3478513.3480501","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124641306&doi=10.1145%2f3478513.3480501&partnerID=40&md5=12411c10b0d216b1ecfefc765290088b","Article","Final","","Scopus","2-s2.0-85124641306"
"Abd El-Fattah I.; Ali A.M.; El-Shafai W.; Taha T.E.; Abd El-Samie F.E.","Abd El-Fattah, Ibrahim (58148714300); Ali, Anas M. (57198724497); El-Shafai, Walid (55819860600); Taha, Taha E. (36715718000); Abd El-Samie, Fathi E. (12785222000)","58148714300; 57198724497; 55819860600; 36715718000; 12785222000","Deep-learning-based super-resolution and classification framework for skin disease detection applications","2023","Optical and Quantum Electronics","55","5","427","","","","0","10.1007/s11082-022-04432-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150465819&doi=10.1007%2fs11082-022-04432-x&partnerID=40&md5=1b078f871f4d995dcc80abb43ee8a835","Article","Final","","Scopus","2-s2.0-85150465819"
"Chen H.; Zhang Y.J.; He P.Y.; Liu L.C.","Chen, Hao (57198887056); Zhang, Yao Jun (55808051800); He, Pan Yang (57195069712); Liu, Li Cai (36656000500)","57198887056; 55808051800; 57195069712; 36656000500","Synthesis, characterization, and selective CO2 capture performance of a new type of activated carbon-geopolymer composite adsorbent","2021","Journal of Cleaner Production","325","","129271","","","","17","10.1016/j.jclepro.2021.129271","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116898014&doi=10.1016%2fj.jclepro.2021.129271&partnerID=40&md5=2f7c6b47ef9c4cdc958efcaa2ca8ea0f","Article","Final","","Scopus","2-s2.0-85116898014"
"Mao W.; Yang S.; Shi H.; Liu J.; Wang Z.","Mao, Wendong (57224668301); Yang, Shuai (56939356600); Shi, Huihong (57222585754); Liu, Jiaying (20433884500); Wang, Zhongfeng (57203515197)","57224668301; 56939356600; 57222585754; 20433884500; 57203515197","Intelligent Typography: Artistic Text Style Transfer for Complex Texture and Structure","2022","IEEE Transactions on Multimedia","","","","1","15","14","1","10.1109/TMM.2022.3209870","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139528727&doi=10.1109%2fTMM.2022.3209870&partnerID=40&md5=e1831bfb331b6bdc961715340b7b472c","Article","Article in press","","Scopus","2-s2.0-85139528727"
"Zhu L.; Dong S.; Li J.; Huang T.; Tian Y.","Zhu, Lin (57209026146); Dong, Siwei (56106282000); Li, Jianing (57200619848); Huang, Tiejun (8914299500); Tian, Yonghong (7402840445)","57209026146; 56106282000; 57200619848; 8914299500; 7402840445","Ultra-High Temporal Resolution Visual Reconstruction From a Fovea-Like Spike Camera via Spiking Neuron Model","2023","IEEE Transactions on Pattern Analysis and Machine Intelligence","45","1","","1233","1249","16","0","10.1109/TPAMI.2022.3146140","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124096617&doi=10.1109%2fTPAMI.2022.3146140&partnerID=40&md5=9f0568830d9040e9a1fafb945e5fb2b7","Article","Final","","Scopus","2-s2.0-85124096617"
"Liu D.; Han S.; Chen Y.; Xia C.; Zhao J.","Liu, Donghaisheng (57218147123); Han, Shoudong (35067973900); Chen, Yang (58431857200); Xia, Chenfei (57221147421); Zhao, Jun (58444731600)","57218147123; 35067973900; 58431857200; 57221147421; 58444731600","Foreground-guided textural-focused person re-identification","2022","Neurocomputing","483","","","235","248","13","2","10.1016/j.neucom.2022.02.014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124473360&doi=10.1016%2fj.neucom.2022.02.014&partnerID=40&md5=3479b54ec270663323e044a27dbc10f1","Article","Final","","Scopus","2-s2.0-85124473360"
